Country,C1 low,C1,C1 high,C2 low,C2,C2 high,C3 low,C3,C3 high,C4 low,C4,C4 high,C5 low,C5,C5 high,C6 low,C6,C6 high,C7 low,C7,C7 high,C8 low,C8,C8 high,C9 low,C9,C9 high
BE,1.8399999999999999,2.3,2.76,11.6,14.5,17.4,466.8,583.5,700.2,3.44,4.3,5.16,484.0,605,726.0,41.6,52.0,62.4,66.864,83.58,100.29599999999999,10.8,13.5,16.2,8.64,10.8,12.96
BG,6.88,8.6,10.32,7.040000000000001,8.8,10.56,498.71999999999997,623.4,748.0799999999999,5.36,6.7,8.040000000000001,1284.8,1606,1927.2,27.68,34.6,41.52,52.04,65.05,78.06,8.32,10.4,12.48,15.280000000000001,19.1,22.92
CZ,1.6,2.0,2.4,10.64,13.3,15.96,507.52,634.4,761.28,3.84,4.8,5.76,713.6,892,1070.4,36.32,45.4,54.48,66.72,83.4,100.08000000000001,14.64,18.3,21.96,4.88,6.1,7.319999999999999
DK,2.2399999999999998,2.8,3.36,14.559999999999999,18.2,21.84,843.04,1053.8,1264.56,2.16,2.7,3.24,424.0,530,636.0,36.0,45.0,54.0,78.16,97.7,117.24000000000001,10.16,12.7,15.239999999999998,5.84,7.3,8.76
DE,0.96,1.2,1.44,17.28,21.6,25.92,469.36,586.7,704.0400000000001,2.6399999999999997,3.3,3.96,540.8,676,811.2,54.64,68.3,81.96,76.776,95.97,115.164,8.959999999999999,11.2,13.44,6.56,8.2,9.84
EE,1.6800000000000002,2.1,2.52,6.4,8.0,9.6,1187.52,1484.4,1781.2800000000002,3.5200000000000005,4.4,5.28,338.4,423,507.6,23.119999999999997,28.9,34.68,66.4,83.0,99.6,9.28,11.6,13.92,4.4,5.5,6.6
IE,1.1199999999999999,1.4,1.68,8.24,10.3,12.360000000000001,778.1600000000001,972.7,1167.24,2.32,2.9,3.48,257.6,322,386.4,32.32,40.4,48.48,49.488,61.86,74.232,10.879999999999999,13.6,16.32,9.040000000000001,11.3,13.56
EL,4.64,5.8,6.96,16.080000000000002,20.1,24.12,568.1600000000001,710.2,852.24,4.4,5.5,6.6,800.8,1001,1201.2,16.8,21.0,25.2,75.36,94.2,113.04,10.32,12.9,15.48,14.48,18.1,21.720000000000002
ES,2.7199999999999998,3.4,4.08,17.52,21.9,26.279999999999998,462.0,577.5,693.0,2.32,2.9,3.48,448.8,561,673.2,29.119999999999997,36.4,43.68,69.296,86.62,103.944,8.0,10.0,12.0,11.28,14.1,16.92
FR,3.04,3.8,4.56,16.56,20.7,24.84,676.08,845.1,1014.12,2.96,3.7,4.44,435.2,544,652.8,33.839999999999996,42.3,50.76,63.879999999999995,79.85,95.82,10.4,13.0,15.6,14.16,17.7,21.24
HR,4.08,5.1,6.119999999999999,6.4799999999999995,8.1,9.719999999999999,578.0,722.5,867.0,4.720000000000001,5.9,7.08,851.2,1064,1276.8,23.6,29.5,35.4,29.52,36.9,44.28,8.879999999999999,11.1,13.32,1.92,2.4,2.88
IT,4.88,6.1,7.319999999999999,11.440000000000001,14.3,17.16,387.44,484.3,581.1600000000001,3.2,4.0,4.8,674.4,843,1011.6,41.12,51.4,61.68,47.68,59.6,71.52000000000001,11.28,14.1,16.92,6.720000000000001,8.4,10.08
CY,1.28,1.6,1.9200000000000002,11.2,14.0,16.8,751.2,939.0,1126.8,4.32,5.4,6.48,476.0,595,714.0,13.12,16.4,19.68,66.12,82.65,99.18,9.92,12.4,14.88,8.32,10.4,12.48
LV,9.2,11.5,13.8,10.0,12.5,15.0,1020.8799999999999,1276.1,1531.32,5.84,7.3,8.76,739.2,924,1108.8,31.68,39.6,47.52,64.328,80.41,96.49199999999999,9.84,12.3,14.760000000000002,4.24,5.3,6.359999999999999
LT,4.32,5.4,6.48,11.76,14.7,17.64,872.4,1090.5,1308.6,4.96,6.2,7.44,798.4,998,1197.6,36.08,45.1,54.120000000000005,61.6,77.0,92.4,4.64,5.8,6.96,2.6399999999999997,3.3,3.96
LU,1.28,1.6,1.9200000000000002,15.76,19.7,23.64,452.16,565.2,678.24,3.28,4.1,4.92,276.8,346,415.2,42.239999999999995,52.8,63.36,78.64,98.3,117.96,10.72,13.4,16.080000000000002,8.8,11.0,13.2
HU,6.08,7.6,9.12,7.44,9.3,11.16,649.2,811.5,973.8,3.7600000000000002,4.7,5.640000000000001,964.0,1205,1446.0,25.6,32.0,38.4,64.728,80.91,97.092,16.96,21.2,25.439999999999998,4.24,5.3,6.359999999999999
MT,0.8,1.0,1.2,24.64,30.8,36.96,161.12,201.4,241.68,1.8399999999999999,2.3,2.76,512.8,641,769.2,8.4,10.5,12.6,5.232,6.54,7.848,11.040000000000001,13.8,16.560000000000002,9.120000000000001,11.4,13.68
NL,1.2,1.5,1.8,20.4,25.5,30.6,365.52,456.9,548.28,2.4,3.0,3.6,440.8,551,661.2,45.519999999999996,56.9,68.28,79.616,99.52,119.42399999999999,7.92,9.9,11.88,12.559999999999999,15.7,18.84
AT,2.4,3.0,3.6,13.440000000000001,16.8,20.16,592.08,740.1,888.12,3.12,3.9,4.68,484.8,606,727.2,49.44,61.8,74.16,79.28,99.1,118.91999999999999,15.52,19.4,23.279999999999998,4.5600000000000005,5.7,6.84
PL,6.32,7.9,9.48,10.08,12.6,15.12,506.96000000000004,633.7,760.44,5.279999999999999,6.6,7.92,1032.8,1291,1549.2,30.96,38.7,46.440000000000005,59.824,74.78,89.736,9.92,12.4,14.88,3.5200000000000005,4.4,5.28
PT,3.12,3.9,4.68,20.080000000000002,25.1,30.12,551.28,689.1,826.9200000000001,4.16,5.2,6.24,418.4,523,627.6,21.2,26.5,31.8,67.712,84.64,101.568,5.4399999999999995,6.8,8.16,5.279999999999999,6.6,7.92
RO,11.440000000000001,14.3,17.16,12.88,16.1,19.32,422.71999999999997,528.4,634.0799999999999,6.8,8.5,10.2,1008.8,1261,1513.2,10.959999999999999,13.7,16.439999999999998,41.44,51.8,62.16,14.48,18.1,21.720000000000002,7.040000000000001,8.8,10.56
SI,2.48,3.1,3.72,12.0,15.0,18.0,500.08000000000004,625.1,750.12,3.04,3.8,4.56,595.2,744,892.8,47.44,59.3,71.16,55.455999999999996,69.32,83.184,6.959999999999999,8.7,10.44,5.84,7.3,8.76
SK,2.56,3.2,3.8400000000000003,7.92,9.9,11.88,505.43999999999994,631.8,758.16,3.6,4.5,5.4,747.2,934,1120.8,33.760000000000005,42.2,50.64,55.04,68.8,82.56,15.040000000000001,18.8,22.560000000000002,3.44,4.3,5.16
FI,0.8,1.0,1.2,11.28,14.1,16.92,1958.08,2447.6,2937.12,3.2,4.0,4.8,230.4,288,345.6,33.28,41.6,49.92,68.0,85.0,102.0,10.4,13.0,15.6,5.6,7.0,8.4
SE,2.0,2.5,3.0,13.84,17.3,20.76,1778.4,2223.0,2667.6,1.6,2.0,2.4,206.4,258,309.6,30.639999999999997,38.3,45.959999999999994,76.8,96.0,115.2,12.8,16.0,19.2,11.040000000000001,13.8,16.560000000000002
